card_date,red_name,blue_name,method,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue,max_bout_duration,actual_bout_duration,red_win,blue_win
2023-02-25,Andre Muniz,Brendan Allen,Submission,Middleweight,112,43,102,42,114,45,129,64,3,0,1,1,0,2,0,0,15,252,88,25,76,21,13,8,16,12,11,10,10,9,111,43,98,40,1,0,0,0,0,0,4,2,900,865,No,Yes
2023-02-25,Augusto Sakai,Don'Tale Mayes,Decision - Unanimous,Heavyweight,95,53,62,29,173,107,121,77,2,1,1,0,0,0,0,0,531,166,65,27,46,15,22,18,12,10,8,8,4,4,49,21,56,24,42,30,6,5,4,2,0,0,900,900,Yes,No
2023-02-25,Tatiana Suarez,Montana De La Rosa,Submission,Women's Flyweight,13,10,11,5,43,37,46,36,6,2,0,0,1,0,0,0,345,37,1,0,10,4,10,8,1,1,2,2,0,0,5,3,7,1,8,7,4,4,0,0,0,0,900,471,Yes,No
2023-02-25,Mike Malott,Yohan Lainesse,Submission,Welterweight,17,9,4,1,28,20,4,1,1,1,0,0,1,0,0,0,96,0,8,3,3,1,7,4,0,0,2,2,1,0,17,9,4,1,0,0,0,0,0,0,0,0,900,255,Yes,No
2023-02-25,Erick Gonzalez,Trevor Peek,KO/TKO,Lightweight,29,7,86,51,35,11,86,51,6,4,1,0,0,0,0,0,135,16,27,5,70,38,1,1,11,8,1,1,5,5,28,7,67,36,1,0,12,9,0,0,7,6,900,299,No,Yes
2023-02-25,Jasmine Jasudavicius,Gabriella Fernandes,Decision - Unanimous,Women's Flyweight,54,24,56,26,215,149,86,54,8,4,1,0,0,0,0,0,691,4,46,17,37,10,4,3,10,8,4,4,9,8,40,16,55,25,1,1,1,1,13,7,0,0,900,900,Yes,No
2023-02-25,Jordan Leavitt,Victor Martinez,KO/TKO,Lightweight,35,17,28,7,38,18,31,9,2,0,0,0,0,0,0,0,46,0,21,8,20,4,10,6,1,0,4,3,7,3,22,8,28,7,7,5,0,0,6,4,0,0,900,147,Yes,No
2023-02-25,Ode Osbourne,Charles Johnson,Decision - Split,Catch Weight,154,48,127,60,157,50,147,74,10,3,5,1,0,0,0,0,173,78,110,17,78,28,15,10,24,10,29,21,25,22,150,45,101,42,4,3,25,17,0,0,1,1,900,900,Yes,No
2023-02-25,Joe Solecki,Carl Deaton,Submission,Lightweight,8,2,12,1,67,49,29,13,3,2,0,0,3,0,0,0,531,0,6,1,10,1,1,0,2,0,1,1,0,0,6,1,12,1,2,1,0,0,0,0,0,0,900,595,Yes,No
2023-02-25,Rafael Alves,Nurullo Aliev,Decision - Majority,Lightweight,17,6,45,19,36,25,140,92,0,0,4,3,2,0,1,1,78,651,11,2,42,19,3,2,1,0,3,2,2,0,17,6,10,1,0,0,0,0,0,0,35,18,900,900,No,Yes
