card_date,card_name,red_name,blue_name,winner_name,loser_name,winner_color,loser_color,match_result,num_rounds,time,method,time_format,referee_name,division,sig_str_total_red,sig_str_landed_red,sig_str_total_blue,sig_str_landed_blue,total_str_total_red,total_str_landed_red,total_str_total_blue,total_str_landed_blue,td_total_red,td_landed_red,td_total_blue,td_landed_blue,sub_att_red,sub_att_blue,rev_red,rev_blue,ctrl_red,ctrl_blue,head_str_total_red,head_str_landed_red,head_str_total_blue,head_str_landed_blue,body_str_total_red,body_str_landed_red,body_str_total_blue,body_str_landed_blue,leg_str_total_red,leg_str_landed_red,leg_str_total_blue,leg_str_landed_blue,distance_str_total_red,distance_str_landed_red,distance_str_total_blue,distance_str_landed_blue,clinch_str_total_red,clinch_str_landed_red,clinch_str_total_blue,clinch_str_landed_blue,ground_str_total_red,ground_str_landed_red,ground_str_total_blue,ground_str_landed_blue
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Andre Muniz,Brendan Allen,Brendan Allen,Andre Muniz,blue,red,W/L,3,4:25,Submission,3,Jason Herzog,Middleweight,112,43,102,42,114,45,129,64,3,0,1,1,0,2,0,0,0:15,4:12,88,25,76,21,13,8,16,12,11,10,10,9,111,43,98,40,1,0,0,0,0,0,4,2
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Augusto Sakai,Don'Tale Mayes,Augusto Sakai,Don'Tale Mayes,red,blue,W/L,3,5:00,Decision - Unanimous,3,Kerry Hatley,Heavyweight,95,53,62,29,173,107,121,77,2,1,1,0,0,0,0,0,8:51,2:46,65,27,46,15,22,18,12,10,8,8,4,4,49,21,56,24,42,30,6,5,4,2,0,0
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Tatiana Suarez,Montana De La Rosa,Tatiana Suarez,Montana De La Rosa,red,blue,W/L,2,2:51,Submission,3,Chris Tognoni,Women's Flyweight,13,10,11,5,43,37,46,36,6,2,0,0,1,0,0,0,5:45,0:37,1,0,10,4,10,8,1,1,2,2,0,0,5,3,7,1,8,7,4,4,0,0,0,0
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Mike Malott,Yohan Lainesse,Mike Malott,Yohan Lainesse,red,blue,W/L,1,4:15,Submission,3,Mark Smith,Welterweight,17,9,4,1,28,20,4,1,1,1,0,0,1,0,0,0,1:36,0:00,8,3,3,1,7,4,0,0,2,2,1,0,17,9,4,1,0,0,0,0,0,0,0,0
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Erick Gonzalez,Trevor Peek,Trevor Peek,Erick Gonzalez,blue,red,W/L,1,4:59,KO/TKO,3,Kerry Hatley,Lightweight,29,7,86,51,35,11,86,51,6,4,1,0,0,0,0,0,2:15,0:16,27,5,70,38,1,1,11,8,1,1,5,5,28,7,67,36,1,0,12,9,0,0,7,6
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Jasmine Jasudavicius,Gabriella Fernandes,Jasmine Jasudavicius,Gabriella Fernandes,red,blue,W/L,3,5:00,Decision - Unanimous,3,Chris Tognoni,Women's Flyweight,54,24,56,26,215,149,86,54,8,4,1,0,0,0,0,0,11:31,0:04,46,17,37,10,4,3,10,8,4,4,9,8,40,16,55,25,1,1,1,1,13,7,0,0
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Jordan Leavitt,Victor Martinez,Jordan Leavitt,Victor Martinez,red,blue,W/L,1,2:27,KO/TKO,3,Jason Herzog,Lightweight,35,17,28,7,38,18,31,9,2,0,0,0,0,0,0,0,0:46,0:00,21,8,20,4,10,6,1,0,4,3,7,3,22,8,28,7,7,5,0,0,6,4,0,0
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Ode Osbourne,Charles Johnson,Ode Osbourne,Charles Johnson,red,blue,W/L,3,5:00,Decision - Split,3,Kerry Hatley,Catch Weight,154,48,127,60,157,50,147,74,10,3,5,1,0,0,0,0,2:53,1:18,110,17,78,28,15,10,24,10,29,21,25,22,150,45,101,42,4,3,25,17,0,0,1,1
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Joe Solecki,Carl Deaton,Joe Solecki,Carl Deaton,red,blue,W/L,2,4:55,Submission,3,Jason Herzog,Lightweight,8,2,12,1,67,49,29,13,3,2,0,0,3,0,0,0,8:51,0:00,6,1,10,1,1,0,2,0,1,1,0,0,6,1,12,1,2,1,0,0,0,0,0,0
"February 25, 2023",UFC Fight Night: Muniz vs. Allen,Rafael Alves,Nurullo Aliev,Nurullo Aliev,Rafael Alves,blue,red,W/L,3,5:00,Decision - Majority,3,Mark Smith,Lightweight,17,6,45,19,36,25,140,92,0,0,4,3,2,0,1,1,1:18,10:51,11,2,42,19,3,2,1,0,3,2,2,0,17,6,10,1,0,0,0,0,0,0,35,18
